#x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative thickness
#[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.000000000000E+00	-2.762666761835E+00	8.320312504078E+01	2.712843151065E+00	2.083568366288E+00	3.500000000000E-01	2.409999997669E+01
0.000000000000E+00	-2.782017134049E+00	8.341914397327E+01	2.742710637782E+00	2.062850663999E+00	3.499999999999E-01	2.409999997322E+01
0.000000000000E+00	-2.800903173573E+00	8.362900608788E+01	2.771586737743E+00	2.042223623426E+00	3.500000000000E-01	2.409999997507E+01
0.000000000000E+00	-2.819330664475E+00	8.383285344766E+01	2.799467563042E+00	2.021711848176E+00	3.500000000000E-01	2.409999998021E+01
0.000000000000E+00	-2.837306421865E+00	8.403083548218E+01	2.826355507001E+00	2.001337372463E+00	3.500000000000E-01	2.409999998692E+01
0.000000000000E+00	-2.854836654162E+00	8.422309099389E+01	2.852256157584E+00	1.981121506436E+00	3.500000000000E-01	2.409999999375E+01
0.000000000000E+00	-2.871928520592E+00	8.440976544484E+01	2.877180073717E+00	1.961083099486E+00	3.500000000000E-01	2.409999999946E+01
0.000000000000E+00	-2.888588585367E+00	8.459099399776E+01	2.901188577820E+00	1.941229641695E+00	3.500000000000E-01	2.410000000319E+01
0.000000000000E+00	-2.904824349716E+00	8.476691782170E+01	2.924362033486E+00	1.921509924618E+00	3.500000000000E-01	2.410000000512E+01
0.000000000000E+00	-2.920642718056E+00	8.493766812738E+01	2.946701934013E+00	1.901864275002E+00	3.500000000000E-01	2.410000000571E+01
0.000000000000E+00	-2.936051381620E+00	8.510338155617E+01	2.968213776221E+00	1.882244524345E+00	3.500000000000E-01	2.410000000536E+01
0.000000000000E+00	-2.951057415512E+00	8.526418514288E+01	2.988905446214E+00	1.862614218925E+00	3.500000000000E-01	2.410000000440E+01
0.000000000000E+00	-2.965668616945E+00	8.542021081989E+01	3.008788628881E+00	1.842945503013E+00	3.500000000000E-01	2.410000000313E+01
0.000000000000E+00	-2.979892328689E+00	8.557158290185E+01	3.027876765524E+00	1.823219368752E+00	3.500000000000E-01	2.410000000179E+01
0.000000000000E+00	-2.993735939081E+00	8.571842357737E+01	3.046185385763E+00	1.803423881399E+00	3.500000000000E-01	2.410000000059E+01
0.000000000000E+00	-3.007207301257E+00	8.586085748837E+01	3.063729237761E+00	1.783552230494E+00	3.500000000000E-01	2.409999999970E+01
0.000000000000E+00	-3.020313479395E+00	8.599900057837E+01	3.080510274876E+00	1.763592599495E+00	3.500000000000E-01	2.409999999916E+01
0.000000000000E+00	-3.033061900325E+00	8.613297258530E+01	3.096577527326E+00	1.743524489108E+00	3.500000000000E-01	2.409999999890E+01
0.000000000000E+00	-3.045459466079E+00	8.626288488185E+01	3.111984000887E+00	1.723335225357E+00	3.500000000000E-01	2.409999999884E+01
0.000000000000E+00	-3.057513673603E+00	8.638885223212E+01	3.126778149102E+00	1.703018152857E+00	3.500000000000E-01	2.409999999894E+01
0.000000000000E+00	-3.069231508999E+00	8.651098139005E+01	3.141003031579E+00	1.682573353510E+00	3.500000000000E-01	2.409999999913E+01
0.000000000000E+00	-3.080620489302E+00	8.662938216341E+01	3.154698080742E+00	1.662004925886E+00	3.500000000000E-01	2.409999999936E+01
0.000000000000E+00	-3.091687619154E+00	8.674415670269E+01	3.167898275967E+00	1.641321945475E+00	3.500000000000E-01	2.409999999961E+01
0.000000000000E+00	-3.102440376850E+00	8.685540990774E+01	3.180635732287E+00	1.620535922368E+00	3.500000000000E-01	2.409999999983E+01
0.000000000000E+00	-3.112885730598E+00	8.696323936846E+01	3.192938380358E+00	1.599661959666E+00	3.500000000000E-01	2.410000000001E+01
0.000000000000E+00	-3.123031127873E+00	8.706774514438E+01	3.204743673004E+00	1.578706249061E+00	3.500000000000E-01	2.410000000013E+01
0.000000000000E+00	-3.132883673359E+00	8.716902031022E+01	3.216036906661E+00	1.557648719699E+00	3.500000000000E-01	2.410000000019E+01
0.000000000000E+00	-3.142450840609E+00	8.726716016955E+01	3.226874629471E+00	1.536470946415E+00	3.500000000000E-01	2.410000000022E+01
0.000000000000E+00	-3.151739565489E+00	8.736225339313E+01	3.237305841902E+00	1.515163567406E+00	3.500000000000E-01	2.410000000021E+01
0.000000000000E+00	-3.160757083709E+00	8.745439066115E+01	3.247373731823E+00	1.493723171839E+00	3.500000000000E-01	2.410000000019E+01
0.000000000000E+00	-3.169510113514E+00	8.754365634405E+01	3.257115461986E+00	1.472153057769E+00	3.500000000000E-01	2.410000000015E+01
0.000000000000E+00	-3.178005645494E+00	8.763013662114E+01	3.266563690184E+00	1.450460367933E+00	3.500000000000E-01	2.410000000011E+01
0.000000000000E+00	-3.186250172797E+00	8.771391167582E+01	3.275746284027E+00	1.428657114765E+00	3.500000000000E-01	2.410000000007E+01
0.000000000000E+00	-3.194250435626E+00	8.779506332018E+01	3.284687664516E+00	1.406757515276E+00	3.500000000000E-01	2.410000000003E+01
0.000000000000E+00	-3.202012696556E+00	8.787366767450E+01	3.293408277723E+00	1.384779231472E+00	3.500000000000E-01	2.410000000000E+01
0.000000000000E+00	-3.209543480082E+00	8.794980232200E+01	3.301844519545E+00	1.362703357257E+00	3.500000000000E-01	2.409999999998E+01
0.000000000000E+00	-3.216849050457E+00	8.802354023123E+01	3.309967332209E+00	1.340395909426E+00	3.500000000000E-01	2.409999999997E+01
0.000000000000E+00	-3.223935555513E+00	8.809495250957E+01	3.317820047348E+00	1.317727256833E+00	3.500000000000E-01	2.409999999996E+01
0.000000000000E+00	-3.230809221439E+00	8.816411067406E+01	3.325439982650E+00	1.294597714865E+00	3.500000000000E-01	2.409999999996E+01
0.000000000000E+00	-3.237475818535E+00	8.823108126730E+01	3.332858593593E+00	1.270935092204E+00	3.500000000000E-01	2.409999999997E+01
0.000000000000E+00	-3.243941268321E+00	8.829593196572E+01	3.340102813803E+00	1.246688916769E+00	3.500000000000E-01	2.409999999997E+01
0.000000000000E+00	-3.250211061838E+00	8.835872573760E+01	3.347195002298E+00	1.221829193051E+00	3.500000000000E-01	2.409999999998E+01
0.000000000000E+00	-3.256290830515E+00	8.841952657368E+01	3.354154115831E+00	1.196341330190E+00	3.500000000000E-01	2.409999999999E+01
0.000000000000E+00	-3.262185798943E+00	8.847839401210E+01	3.360995563480E+00	1.170225721527E+00	3.500000000000E-01	2.409999999999E+01
0.000000000000E+00	-3.267901321577E+00	8.853538851353E+01	3.367732243678E+00	1.143493212478E+00	3.500000000000E-01	2.410000000000E+01
0.000000000000E+00	-3.273442296625E+00	8.859056633804E+01	3.374818833968E+00	1.116118946886E+00	3.500000000000E-01	2.410000000000E+01
0.000000000000E+00	-3.278813268074E+00	8.864398462670E+01	3.382778917814E+00	1.087776964899E+00	3.500000000000E-01	2.410000000000E+01
0.000000000000E+00	-3.284018316790E+00	8.869569655676E+01	3.391043250598E+00	1.058084399971E+00	3.500000000000E-01	2.410000000001E+01
0.000000000000E+00	-3.289061760622E+00	8.874575604524E+01	3.399115059432E+00	1.026744381873E+00	3.500000000000E-01	2.410000000001E+01
0.000000000000E+00	-3.293947684278E+00	8.879421324735E+01	3.406585686248E+00	9.920903140442E-01	3.500000000000E-01	2.410000000000E+01
0.000000000000E+00	-3.298680369629E+00	8.884111898912E+01	3.413124118901E+00	9.476696131660E-01	3.500000000000E-01	2.410000000000E+01
